logical_identifier,title,name,description,alias_id,alias_title
urn:nasa:pds:context:telescope:las_cumbres.1m0_telescopes,Las Cumbres Global Telescope Network - 1m Telescopes,,             The 1m telescopes of the Las Cumbres global network are built to be identical. They are             Equatorial C-ring mounted Ritchey-Chretian Cassegrain telescopes. Users should consult              the data product documentation to determine which telescope was used to record any              specific observation when that information is needed.         ,,
urn:nasa:pds:context:telescope:las_cumbres.2m0_telescopes,Las Cumbres Global Telescope Network - 2m Telescopes,,             The 2m telescopes of the Las Cumbres global network are built to be identical. They are             Altitude-Azimuth mounted Ritchey-Chretian Cassegrain telescopes. Users should consult              the data product documentation to determine which telescope was used to record any              specific observation when that information is needed.         ,,
urn:nasa:pds:context:telescope:leura.0m25,0.25m,,"         The 0.25m is a 25 cm telescope located at -33.706833, 150.341694 at the Leura.                  Leura Observatory 0.25-m         ",,
urn:nasa:pds:context:telescope:lick.shane3m05,3.05-m Shane reflector,,"         The 3.05-m Shane reflector is a 3.05 m telescope located at 37.343109, 238.363922 at the Lick Observatory.                  Operational 1959+         ",,
urn:nasa:pds:context:telescope:lowell.21in0,Lowell Obersvatory 21-in Reflector,,"             21.0-in (53 cm) reflector telescope at Lowell Observatory, Mars Hill, Flagstaff, AZ, was built for Harold Johnson, in 1953.             The telescope ushered in photoelectric astronomy at Lowell. The 21-in is the only manually slewed telescope at Lowell             and is still in use with minimal upgrades since 1953.         ",,
urn:nasa:pds:context:telescope:lowell.discovery_4m3,Lowell Discovery Telescope (LDT),,"             The Lowell Discovery Telescope, formerly known as the ""Discovery Channel Telescope (DCT)"",             is a 4.3m diameter telescope with an effective focal length of 26.04 m and an f/ratio of              6.2. The LDT instrument cube allows simultaneous attachment of five instruments to the             telescope.         ",,
urn:nasa:pds:context:telescope:lowell.hall_ritchey-chretien_1_1m07,1.07-m Hall Ritchey-Chretien reflector #1,,Operational 1970+,,
urn:nasa:pds:context:telescope:lowell.loneos_0m60,LONEOS 0.6m Schmidt Telescope,,"0.6m Schmidt telescope with f/1.8 located on Anderson Mesa, Arizona",,
urn:nasa:pds:context:telescope:lowell.nuro_0m79,NURO 0.79m (31inch),,"The information was adapted from Lowell Observatory web pages.  This 0.79-meter (31-inch) telescope was installed in 1964 at Lowell’s Anderson Mesa Dark Sky Site. The U.S. Geological Survey originally operated it to create geological maps of the Moon, in support of Project Apollo. Ownership was transferred to Lowell Observatory in 1972, and it was refurbished in 1990.  This telescope later became a primary research tool for the National Undergraduate Research Observatory (NURO).  The effective focal length is 11.78 m, and the f/ratio is 15.  The 31-inch telescope is stopped down to 29.5 inches (0.75m).  The plate scale is 17 arcsec/mm.",,
urn:nasa:pds:context:telescope:lowell.perkins_warner1m83,1.83-m Perkins Warner &amp; Swasey reflector,,"         The 1.83-m Perkins Warner &amp; Swasey reflector is a 1.83 m telescope located at 35.096832, 248.464081 at the Anderson Mesa Station.                  Operational 1961+; from Perkins Obs.         ",,
urn:nasa:pds:context:telescope:madrid.dss53_34m,DSS-53 34-m Radio Telescope,,"             Deep Space Station 53 (DSS-53) is scheduled to become operational in early 2021.             The antenna is very similar in structure to earlier 34-m DSN antennas; however the              transmission and reception equipment is located underground rather than in a cone at              the focal point of the dish. The radio signal is guided from the subreflector through              a hole in the surface of the dish to the receiving equipment via a system of reflecting             mirrors inside a large tube. The reverse path allows transmission. This 'beam waveguide'              (BWG) design reduces weight on the reflecting surface, insulates electronics from              environmental factors including dish movement, and simplifies maintenance. DSS-53 can              transmit up to 20 kW at 7.1 GHz.  It can receive simultaneous right- and left-circular             polarization at 8.4 GHz and 32.0 GHz. Antenna coordinates were converted from Table 5             in module 301 (revision L) of the DSN Telecommunications Link Design Handbook              (DSN document 810-005).                           The Madrid Deep Space Communications Complex (MDSCC) has been managed since December 2012 by             Ingeniería de Sistemas para la Defensa de España.  MDSCC is located about 65 km west of             Madrid, near the town of Robledo de Chevala, Spain.         ",,
urn:nasa:pds:context:telescope:madrid.dss54_34m,DSS-54 34-m Radio Telescope,,"             Deep Space Station 54 (DSS-54) became operational in 1997. The antenna is very similar in              structure to earlier 34-m DSN antennas; however the transmission and reception equipment              is located underground rather than in a cone at the focal point of the dish. The radio              signal is guided from the subreflector through a hole in the surface of the dish to the              receiving equipment via a system of reflecting mirrors inside a large tube. The reverse              path allows transmission. This 'beam waveguide' (BWG) design reduces weight on the              reflecting surface, insulates electronics from environmental factors including dish              movement, and simplifies maintenance. DSS-54 can transmit up to 20 kW at 2.1 and 7.1 GHz.             It can receive right- or left-circular polarization at 2.2, 8.4, and 26.2 GHz.  At 32.0 GHz             it can receive both polarizations simultaneously.  Antenna coordinates were converted from             Table 5 in module 301 (revision L) of the DSN Telecommunications Link Design Handbook              (DSN document 810-005).                           The Madrid Deep Space Communications Complex (MDSCC) has been managed since December 2012 by             Ingeniería de Sistemas para la Defensa de España.  MDSCC is located about 65 km west of             Madrid, near the town of Robledo de Chevala, Spain.         ",,
urn:nasa:pds:context:telescope:madrid.dss55_34m,DSS-55 34-m Radio Telescope,,"             Deep Space Station 55 (DSS-55) became operational in 2003. The antenna is very similar in              structure to earlier 34-m DSN antennas; however the transmission and reception equipment              is located underground rather than in a cone at the focal point of the dish. The radio              signal is guided from the subreflector through a hole in the surface of the dish to the              receiving equipment via a system of reflecting mirrors inside a large tube. The reverse              path allows transmission. This 'beam waveguide' (BWG) design reduces weight on the              reflecting surface, insulates electronics from environmental factors including dish              movement, and simplifies maintenance.  DSS-55 can transmit up to 20 kW at 7.1 GHz; it is             expected to have an 800 W transmitter at 34.5 GHz by late 2024.  It can receive              simultaneous right- and left-circularly polarized signals at 8.4 and 32.0 GHz. Antenna              coordinates were converted from Table 5 in module 301 (revision L) of the DSN              Telecommunications Link Design Handbook (DSN document 810-005).                           The Madrid Deep Space Communications Complex (MDSCC) has been managed since December 2012 by             Ingeniería de Sistemas para la Defensa de España.  MDSCC is located about 65 km west of             Madrid, near the town of Robledo de Chevala, Spain.         ",,
urn:nasa:pds:context:telescope:madrid.dss56_34m,DSS-56 34-m Radio Telescope,,"             Deep Space Station 56 (DSS-56) is scheduled to become operational in September 2020.              The antenna is very similar in structure to earlier 34-m DSN antennas; however, the              transmission and reception equipment is located underground rather than in a cone at              the focal point of the dish. The radio signal is guided from the subreflector through              a hole in the surface of the dish to the receiving equipment via a system of reflecting             mirrors inside a large tube. The reverse path allows transmission. This 'beam waveguide'              (BWG) design reduces weight on the reflecting surface, insulates electronics from              environmental factors including dish movement, and simplifies maintenance. DSS-56 can              transmit up to 250 W at 2.1 GHz and up to 20 kW at 7.1 GHz.  It can receive right- or              left-circular polarization at 2.2 GHz and 26.2 GHz; it can receive both polarizations             simultaneously at 8.4 and 32.0 GHz. Antenna coordinates were converted from Table 5             in module 301 (revision L) of the DSN Telecommunications Link Design Handbook              (DSN document 810-005).                           The Madrid Deep Space Communications Complex (MDSCC) has been managed since December 2012 by             Ingeniería de Sistemas para la Defensa de España.  MDSCC is located about 65 km west of             Madrid, near the town of Robledo de Chevala, Spain.         ",,
urn:nasa:pds:context:telescope:madrid.dss61_26m,DSS-61 26-m Radio Telescope,,"             Deep Space Station 61 (DSS-61) is located at the Madrid Deep Space Communications Complex near             Madrid, Spain.  It became part of the NASA Deep Space Network in the mid 1960s.  Its original             diameter was 26-m, but that was extended to 34-m in the 1980s.                            The Madrid Deep Space Communications Complex (MDSCC) is located about 65 km west of Madrid,             near the town of Robledo de Chevala, Spain.  Under an agreement between the governments of Spain             and the United States, dated 1964-01-29, the National Institute for Aerospace              Technology (INTA) and the U.S. space agency NASA signed a contract for operation and              maintenance of the MDSCC facilities.          ",,
urn:nasa:pds:context:telescope:madrid.dss61_34m,DSS-61 34-m Radio Telescope,,"             Deep Space Station 61 (DSS-61) is located at the Madrid Deep Space Communications Complex (MDSCC)             near Madrid, Spain.  It became part of the NASA Deep Space Network in the mid 1960s.  Its original             diameter was 26-m, but that was extended to 34-m in the 1980s.  DSS-61 was decommissioned in             1999 and transferred to the PARTNeR Project (for educational purposes) in 2001.                          The Madrid Deep Space Communications Complex (MDSCC) is located about 65 km west of Madrid,             near the town of Robledo de Chevala, Spain.  Under an agreement between the governments of Spain             and the United States, dated 1964-01-29, the National Institute for Aerospace              Technology (INTA) and the U.S. space agency NASA signed a contract for operation and              maintenance of the MDSCC facilities. The creation, in 1992, of the state-owned Aerospace              Engineering and Services, SA (INSA, S.A.) under INTA, allowed the concentration of these              responsibilities in the new company. INSA has disappeared and Ingeniería de Sistemas para la             Defensa de España is the company that has managed MDSCC since December 2012.         ",,
urn:nasa:pds:context:telescope:madrid.dss63_64m,DSS-63 64-m Radio Telescope,,"            This fully steerable telescope is a parabolic reflector radio antenna that is part of            the NASA Deep Space Network.  It was first operational in 1974 with a 64-m aperture. The            aperture was extended to 70-m in the late-1980s to support the Voyager 2 encounter with            Neptune. The 64-m antenna could receive at frequencies between about 1.6 and 8.6 GHz in             left-circular polarization (LCP); over 2.0-8.6 GHz it could receive simultaneously in             right-circular poolarization (RCP). It could transmit up to 20 kW at 2.1 and 7.1 GHz.              Antenna coordinates were converted from Table 5 in module 301 (revision L) of the DSN            Telecommunications Link Design Handbook (DSN document 810-005).                        The Madrid Deep Space Communications Complex (MDSCC) is located about 65 km west of Madrid,            near the town of Robledo de Chevala, Spain.  Under an agreement between the governments of            Spain and the United States, dated 1964-01-29, the National Institute for Aerospace             Technology (INTA) and the U.S. space agency NASA signed a contract for operation and             maintenance of the MDSCC facilities.          ",,
urn:nasa:pds:context:telescope:madrid.dss63_70m,DSS-63 70-m Radio Telescope,,"            This fully steerable telescope is a parabolic reflector radio antenna that is part of            the NASA Deep Space Network.  It was first operational in 1974 with a 64-m aperture. The            aperture was extended to 70-m in the mid-1980s to support the Voyager 2 encounter with            Neptune. The 70-m antenna can receive at frequencies between about 1.6 and 32, and it            can transmit up to 20 kW at 2.1 and 7.4 GHz, though the former is limited to emergency             use by agreement with the Spanish gvernment. Antenna coordinates were converted from             Table 5 in module 301 (revision L) of the DSN Telecommunications Link Design Handbook             (DSN document 810-005).                        The Madrid Deep Space Communications Complex (MDSCC) is located about 65 km west of Madrid,            near the town of Robledo de Chevala, Spain.  Under a 1964 agreement between the governments            of Spain and the United States, the National Institute for Aerospace Technology (INTA)             managed the 70-m antenna during its early years. The creation, in 1992, of the state-owned             Aerospace Engineering and Services, SA (INSA, S.A.), under INTA, allowed the concentration             of these responsibilities in the new company. INSA has since disappeared and Ingeniería de             Sistemas para la Defensa de España has managed MDSCC since December 2012.         ",,
urn:nasa:pds:context:telescope:madrid.dss65_34m-post2005,DSS-65 34-m Radio Telescope after 2005 Relocation,,"             NOTE: The telescope was physically moved in February-September 2005; these coordinates and this             description apply only after the relocation.                          This fully steerable telescope was a dual-shaped reflector radio antenna that was part of the              NASA Deep Space Network.  It was first operational in 1987 with a 34-m aperture; it is expected             to be decommissioned in 2021.  When operational, the antenna could receive at frequencies             in the range 2.0-8.6 GHz in right- or left-circular polarization (but not simultaneously).             It could transmit 50-250 W at 2.1 GHz or up to 20 kW at 7.1 GHz. Antenna coordinates were              converted from Table 5 in module 301 (revision L) of the DSN Telecommunications Link Design              Handbook (DSN document 810-005).                           The Madrid Deep Space Communications Complex (MDSCC) is located about 65 km west of Madrid,             near the town of Robledo de Chevala, Spain.  Under an agreement between the governments of             Spain and the United States, dated 1964-01-29, the National Institute for Aerospace              Technology (INTA) and the U.S. space agency NASA signed a contract for operation and              maintenance of the MDSCC facilities. The creation, in 1992, of the state-owned Aerospace              Engineering and Services, SA (INSA, S.A.) under INTA, allowed the concentration of these              responsibilities in the new company. INSA has disappeared and Ingeniería de Sistemas para              la Defensa de España is the company that has managed MDSCC since December 2012.         ",,
urn:nasa:pds:context:telescope:madrid.dss65_34m,DSS 65 34-m Radio Telescope before 2005 Relocation,,"             NOTE: The telescope was physically moved in February-September 2005; these coordinates and             this description apply only before the relocation.                          This fully steerable telescope was a dual-shaped reflector radio antenna that was part of the              NASA Deep Space Network.  It was first operational in 1987 with a 34-m aperture; it is expected             to be decommissioned in 2021.  When operational, the antenna could receive at frequencies             in the range 2.0-8.6 GHz in right- or left-circular polarization (but not simultaneously).             It could transmit 50-250 W at 2.1 GHz or up to 20 kW at 7.1 GHz. Antenna coordinates were              converted from Table 5 in module 301 (revision L) of the DSN Telecommunications Link Design              Handbook (DSN document 810-005).                           The Madrid Deep Space Communications Complex (MDSCC) is located about 65 km west of Madrid,             near the town of Robledo de Chevala, Spain.  Under an agreement between the governments of             Spain and the United States, dated 1964-01-29, the National Institute for Aerospace              Technology (INTA) and the U.S. space agency NASA signed a contract for operation and              maintenance of the MDSCC facilities. The creation, in 1992, of the state-owned Aerospace              Engineering and Services, SA (INSA, S.A.) under INTA, allowed the concentration of these              responsibilities in the new company.          ",,
urn:nasa:pds:context:telescope:madrid.dss66_26m,DSS-66 Radio Telescope,,"             DSS-66 was used primarily for communication with Earth orbiting spacecraft and for             initial acquisition of any spacecraft immediately after launch. It partnered with             DSS-16 (at Goldstone, CA) and DSS-46 (near Canberra, Australia) in a 26-m subnet             for this purpose.  DSS-66 could transmit 50-2000 W at 2.1 GHz (S-band).  It could receive              right- and left-circularly polarized signals simultaneously at both 2.3 GHz and 8.4 GHz;              its receiver could combine the signals to obtain a rotatable linear polization.             The antenna became operational in 1966, was moved from the nearby Fresnedillas NASA             tracking site to its present location in 1983, and was decommissioned in 2009.                          The Madrid Deep Space Communications Complex (MDSCC) is located about 65 km west of Madrid,             near the town of Robledo de Chevala, Spain.  Under an agreement between the governments of             Spain and the United States, dated 1964-01-29, the National Institute for Aerospace              Technology (INTA) and the U.S. space agency NASA signed a contract for operation and              maintenance of the MDSCC facilities. The creation, in 1992, of the state-owned Aerospace              Engineering and Services, SA (INSA, S.A.) under INTA, allowed the concentration of these              responsibilities in the new company. INSA has disappeared and Ingeniería de Sistemas para             la Defensa de España is the company that has managed MDSCC since December 2012.         ",,
urn:nasa:pds:context:telescope:magdalena_ridge.mro2m4,MRO 2.4m,,"         The MRO 2.4m is a 2.4 m telescope located at 33.976666, 252.815278 at the Magdelena Ridge Observatory.         ",,
urn:nasa:pds:context:telescope:malarguee.dss84_35m,DSS-84 35-m Radio Telescope,,"            DSS-84 is an ad hoc identifier for the ESA 35-m telescope near Malarguee, Argentina, assigned by the            Radar and Radio Science Systems Group at JPL.  The telescope is a Cassegrain beam waveguide (BWG)             antenna constructed between 2009 and 2012; it was inaugurated in December 2012 and began routine             service in early 2013.  The telescope has dichroic mirrors to separate X- and Ka-band signals; it             transmits up to 20 kW at 7 GHz and receives at 8 GHz 32 GHz using helium-cooled low-noise amplifiers.            The ESA designation for the telescope is DSA-3, following New Norcia (DSA-1; DSS-74) and Cebreros (DSA-2).         ",,
urn:nasa:pds:context:telescope:maunakea.0m61,61-cm Boller &amp; Chivens Cassegrain reflector #1,,"         The 61-cm Boller &amp; Chivens Cassegrain reflector #1 is a 61 cm telescope located at 19.821611, 204.529037 at the Mauna Kea Observatory.                  Operational 11/1969+; NASA/Univ. of Hawaii telescope         ",,
urn:nasa:pds:context:telescope:maunakea.2m24,2.24-m Cassegrain/Coude reflector,,"         The 2.24-m Cassegrain/Coude reflector is a 2.24 m telescope located at 19.823000, 204.530579 at the Mauna Kea Observatory.                  Operational 11/1970+; Univ. of Hawaii telescope         ",,
urn:nasa:pds:context:telescope:maunakea.ukirt_3m8,United Kingdom Infrared Telescope 3.8m,,"Updated schema version. Adding missing ""investigation"" references. Adding missing ""agency"" references. Adding missing ""telescope"" references.",,
urn:nasa:pds:context:telescope:mcdonald.0m91,91-cm Boller &amp; Chivens Cassegrain reflector,,"         The 91-cm Boller &amp; Chivens Cassegrain reflector is a 91 cm telescope located at 30.671278, 255.978523 at the McDonald Observatory.                  Operational 02/1957+         ",,
urn:nasa:pds:context:telescope:mcdonald.harlanjsmith_2m7,Harlan J. Smith 2.7m Telescope,,"             The 2.7m Telescope is a 2.72 m telescope located at 30.671583, 255.978439 at the McDonald Observatory.                          Instrument Host Overview             ========================             McDonald Observatory Harlan J. Smith 2.7m (107in) Telescope                          The information included here was extracted from the McDonald             Observatory web site at:                          http://mcdonaldobservatory.org/                          on 24 April 2002 by A.C.Raugh.                                       Observatory Information             =======================             McDonald Observatory is administered by the University of Texas             at Austin.  Telescopes are located on Mt. Locke in the Davis             Mountains of West Texas.                          East longitude:  -104 01.3             Latitude:   +30 40.3             Elevation:  2075 meters above sea level                                       Telescope Information             =====================             Harlan J. Smith optical telescope                          Primary Mirror             Diameter:  2.72m  (107 in)             Focal Length: 10.68m  ( 35 ft)             f-ratio:  3.93                          The telescope has three focal points:                          Cassegrain f/8.8       Cassegrain          Coude             Ritchey-Chretien         f/17.7           f/32.5                          Focal Length    23.91m/78.4ft      47.98m/157.4ft    88.43m/290.1ft             f-ratio          8.8               17.65             32.54             Field Angle     61.5 arcmin        31 arcmin          3 arcmin             Plate Scale      8.62 arcsec/mm     4.29 arcsec/mm    2.32 arcsec/mm         ",,
urn:nasa:pds:context:telescope:mcdonald.struve2m1,2.1-m Struve Warner &amp; Swasey reflector,,"         The 2.1-m Struve Warner &amp; Swasey reflector is a 2.1 m telescope located at 30.671583, 255.977745 at the McDonald Observatory.                  Instrument Host Overview ========================   McDonald Observatory Otto Struve 2.1m (82in) Telescope    The information included here was extracted from the McDonald   Observatory web site at:              http://mcdonaldobservatory.org/    on 24 April 2002 by A.C.Raugh.   Observatory Information =======================   McDonald Observatory is administered by the University of Texas   at Austin.  Telecsopes are located on Mt. Locke in the Davis   Mountains of West Texas.      East longitude:  -104 01.3           Latitude:   +30 40.3          Elevation:  2075 meters above sea level     Telescope Information   =====================   Otto Struve optical telescope      Primary Mirror           Diameter:  2.08m  (82 in)       Focal Length:  8.13m  (26.7 ft)            f-ratio:  3.90        Field Angle: 63.5 arcmin        Plate Scale: 25.4 arcsec/mm    The telescope has two focal points:                          Cassegrain            Coude                           f/13.7             f/22.9      Focal Length      28.53m/96.6ft        47.70m/156.5ft     f-ratio           13.65                22.9     Field Angle       20 arcmin            ----     Plate Scale        7.25 arcsec/mm       4.3 arcsec/mm    The Coude focus is not presently in use.         ",,
urn:nasa:pds:context:telescope:mdm.hiltner2m4,2.4-m Hiltner Ritchey-Chretien equatorial reflector,,Operational 1985+; Michigan/Dartmouth/MIT tel.,,
urn:nasa:pds:context:telescope:mdm.tinsley1m3,1.3-m Tinsley Cassegrain/Coude reflector,,Operational 05/1975+; from Univ. of Michigan Radio Ast. Obs.,,
urn:nasa:pds:context:telescope:mmt.single_mirror6m5,6.5-m Single Mirror (MMT),,"         The 6.5-m Single Mirror (MMT) is a 650 cm telescope located at 31.688611, 249.115470 at the MMT Observatory.                  The refurbished MMT 6.5m facility, replacement of the original six 1.83-m reflectors of reference OBS326T1 with a single 6.5m mirror. The new MMT was rededicated on 20 May 2000.         ",,
urn:nasa:pds:context:telescope:modra.0m6,0.6-m,,"         The 0.6-m is a 0.6 m telescope located at 48.373273, 17.274021 at the Modra.                  Astronomical and geophysical observatory in Modra, Slovakia         ",,
urn:nasa:pds:context:telescope:mount_bigelow.0m7,Catalina Sky Survey 0.7-m Schmidt telescope,,Catalina Sky Survey 0.7-m Schmidt survey telescope on Mount Bigelow. (MPC code 703),,
urn:nasa:pds:context:telescope:mount_bigelow.1m54,1.54-m Cassegrain/Coude reflector,,"     The 1.54-m Cassegrain/Coude reflector is a 1.54 m telescope located at 32.416862, 249.268028 at the Mount Bigelow (Catalina) Station.          Operational 10/1965+     ",,
urn:nasa:pds:context:telescope:mount_canopus.1m0,1.0 m Telescope,,"         The 1.0 m Telescope is a 1.0 m telescope located at -42.805000, 147.440000 at the Mount Canopus Observatory.                  1.0 m telescope         ",,
urn:nasa:pds:context:telescope:mount_lemmon.1m02,1.02-m Cassegrain reflector,,Operational 1970+,,
urn:nasa:pds:context:telescope:mount_lemmon.1m54,1.54-m multipurpose reflector,,"     The 1.54-m multipurpose reflector is a 1.54 m telescope located at 32.442753, 249.211975 at the Mount Lemmon (Catalina) Station.          Operational 1970+     ",,
urn:nasa:pds:context:telescope:mount_stromlo.1m9,1.9m Telescope,,"Updated schema version. Adding missing ""investigation"" references. Adding missing ""agency"" references. Adding missing ""telescope"" references.",,
urn:nasa:pds:context:telescope:mount_stromlo.eos,Electro Optic Systems,,"         The Electro Optic Systems is a 1.8 m telescope located at -35.316000, 149.010000 at the Mount Stromlo Observatory.                  1.8 m Electro Optic Systems telescope         ",,
urn:nasa:pds:context:telescope:naoj-hawaii.subaru_8m2,"National Astronomical Observatory of Japan at Mauna Kea, Hawai'i Subaru 8.2 m Telescope",,"             The Subaru Telescope is a Ritchey-Chretien reflecting telescope. Instruments can be mounted at a Cassegrain focus             below the primary mirror; at either of two Nasmyth focal points in enclosures on the sides of the telescope mount,              to which light can be directed with a tertiary mirror; or at the prime focus in lieu of a secondary mirror, an              arrangement rare on large telescopes, to provide a wide field of view suited to deep wide-field surveys.                          Longitude and latitude, above, are provided in the NAD83 coordinate system. Altitude elevation axis is at 4163 m.             Telescope size measures 22.2 m in height, with a maximum width of 27.2 m, weighing 555 t. The primary mirror              has an effective diameter of 8.2 m with a thickness of 22 cm weighing 22.8 t. Composed of ULE (ultra-low thermal             expansion glass), the mean surface error is 14 nm, with a focal length of 15 m. Various foci are as follows:              primary focus is F/2.0 (with corrector); Cassegrain focus is F/12.2; Nasmyth foci are F/12.6 (optical) and F/13.6             (infrared). All is contained within a cylindrical enclosure rotating with telescope, with a height of 43 m and              diameter at the base of 40 m, weighing 2000 t.                          Information from both facility and telescope websites: (as of 10/05/18)             https://www.nao.ac.jp/en/             https://www.subarutelescope.org/Introduction/telescope.html         ",,
urn:nasa:pds:context:telescope:new_norcia.dss74_35m,DSS-74 35-m Radio Telescope,,"            DSS-74 is an ad hoc identifier for the ESA 35-m telescope near New Norcia, Australia, assigned by the            JPL Radar and Radio Science Systems Group.  The telescope was constructed between 2000 and 2002;            it began routine operations in March 2003.  The station can transmit up to 20 kW at 2 and 7 GHz; it can            receive at 2 and 8 GHz.  Upgrades for operation in the 30 GHz range are planned.  The ESA designation             for the telescope is DSA-1; it is also known as NNO.  It was followed by Cebreros (DSA-2) and Malarguee             (DSA-3; DSS-84).         ",,
urn:nasa:pds:context:telescope:nofs.usno1m55,USNO 1.55m,,"         The USNO 1.55m is a 1.55 m telescope located at 35.183888, 248.260280 at the US Naval Observatory.                  US Naval Observatory, Flagstaff Station         ",,
urn:nasa:pds:context:telescope:ondrejov.0m65,0.65 m,,"         The 0.65 m is a 65 cm telescope located at 49.910806, 14.783694 at the Ondr?ejov Observatory.                  0.65m f3.6. Coordinates from Horizons         ",,
urn:nasa:pds:context:telescope:orm.galileo_zeiss3m5,3.5-m Galileo Zeiss Ritchey-Chretien altazimuth reflector,,"         The 3.5-m Galileo Zeiss Ritchey-Chretien altazimuth reflector is a 3.5 m telescope located at 28.766666, 342.116667 at the Roque de los Muchachos Observatory.                  Operational 1995+; Italian Telescope         ",,
urn:nasa:pds:context:telescope:orm.gtc10m4,Gran Telescopio Canaria (GTC),,"The Gran Telescopio CANARIAS (GTC), is currently the largest and one of the most advanced optical and infra-red telescopes in the world. Its primary mirror consists of 36 individual hexagonal segments that together act as a single mirror. The light collecting mirror surface area of GTC is equivalent to that of a telescope with a 10.4m diameter single monolithic mirror. Thanks to its huge collecting area and advanced engineering the GTC classes amongst the best performing telescopes for astronomical research.  The GTC has also a secondary mirror and a tertiary mirror that together with the primary mirror produce the telescope focal plane in the focal station of choice. The scientific instruments that are placed in the focal station then analyse and detect the light, and store the final data.  The telescope mount, a large mechanical, steel structure that holds the mirrors, allows rotational movements of the telescope along a horizontal and vertical axis. This movement has to be extremely precise in order to keep the stars projected stably onto the detector. The telescope is designed so that it is able to observe the optical and infrared light ranges.  GTC will be the last of the generation of so called 8 to 10 meter-class telescopes. Therefore it has tried to improved the design of the predecessors, learning from their experiences.  GTC is the largest telescope thanks to its huge light collecting surface of 75.7 square meters (73 m2 effective area). Apart from its large collecting surface another key feature is the exquisite image quality that the telescope delivers and therefore it can exploit the good sky quality to its maximum. The good image quality is made possible thanks to the active adjustment of the optics. This active optics allows the alignment, deformation and movement the individual segments that form the primary mirror, as well as the alignment of the secondary mirror so as to always keep their optimal position independently of the external conditions (climate, temperature, gravity, manufacture faults, etc).",,
urn:nasa:pds:context:telescope:orm.int2m54,2.54-m Isaac Newton Grubb-Parsons Cass. equat. refl. (INT),,"The Isaac Newton Telescope or INT is a 2.54 m (100 in.) optical telescope run by the ING at Roque de los Muchachos Observatory on La Palma in the Canary Islands since 1984.  The La Palma INT is a Cassegrain telescope, with a 2.54 m diameter primary mirror and a focal length of 8.36 m. The f/3.29 Prime focus, used with the Wide Field Camera, allows an unvignetted field of view of 33 arcminutes (approximately 0.3 square degrees). There is also a secondary focal station, the f/15 Cassegrain focus, which possesses a 20 arcminute field of view and is the mount point for the Intermediate Dispersion Spectrograph.  The pointing accuracy of the telescope is around 5 arcseconds, but a sophisticated autoguider, which tracks a given guide star and makes small corrections to the telescope tracking, allows a guiding accuracy of better than an arcsecond on better than 20th magnitude guide stars in support of the typical 0.8-1.5 arcsec seeing at the INT.",,
urn:nasa:pds:context:telescope:palmer_divide.0m5,0.5m,,"         The 0.5m is a 50 cm telescope located at 39.084666, 284.751112 at the Palmer Divide Observatory.                  Palmer Divide 0.5m         ",,
urn:nasa:pds:context:telescope:palmer_divide.old10inch,Old Ten Inch,,"         The Old Ten Inch is a 25 cm telescope located at 39.100000, 255.250000 at the Palmer Divide Observatory.                  No longer used.         ",,
urn:nasa:pds:context:telescope:palomar.1m52,1.52-m Ritchey-Chretien Cassegrain/Coude reflector,,"         The 1.52-m Ritchey-Chretien Cassegrain/Coude reflector is a 1.52 m telescope located at 33.348888, 243.141388 at the Palomar Observatory.                  Operational 1970+         ",,
urn:nasa:pds:context:telescope:palomar.hale_5m08,Hale 5.08m Telescope,,Operational 11/1949+,,
urn:nasa:pds:context:telescope:palomar.oschin_schmidt_1m2,1.24/1.83-m Oschin Schmidt photographic equat. telescope,,Operational 1948+,,
urn:nasa:pds:context:telescope:parkes.dss49_64m,Parkes 64-m Radio Telescope (as a DSN Antenna),,"            This fully steerable telescope is a parabolic reflector radio antenna that is occasionally used            as part of the NASA Deep Space Network. It can be pointed over elevation angles 30.5-88.5 degrees             at all azimuths with an accuracy of better than 1 arcsecond. It is part of the Australia Telescope             National Facility, is used at frequencies up to 43 GHz, and was first operational in 1961.         ",,
urn:nasa:pds:context:telescope:partizanskoye.1m25_azt11,1.25m Ritchey-Chretien Reflector AZT-11,,"         The 1.25m Ritchey-Chretien Reflector AZT-11 is a 1.25 m telescope located at 44.728300, 34.016700 at the Crimean Astrophysical Observatory-Partizanskoye.                  AZT-11 is the 1.25 m Ritchey-Chretien reflector of the Crimean Astrophysical Observatory, built in 1981 by the Leningrad Optical-Mechanical firm (LOMO) under the supervision by Prof. V.B. Nikonov.  Its focal length is 16 m, and available foci are the main and auxiliary Cassegrains.          ",,
urn:nasa:pds:context:telescope:paul_wild.dss47_2008,Australia Telescope Compact Array - 2008,,"             The ATCA is an array of six 22 m diameter antennas of Cassegrain design.  The collecting              area is equivalent to a single dish of diameter 54 m.  The array has a              3 km east-west track with a 214 m northern spur. Five antennas can be moved along these              tracks, with the sixth antenna at a fixed position 3 km to the west of the east-west track.               The longest possible baseline is, therefore, 6 km. The array can be used for observations              in five wavelength bands between 27 cm and (with five antennas only) 3 mm -- frequencies              between 1.1 GHz and 105 GHz.  Orthogonal polarizations (linear or circular) can be              observed simultaneously.         ",,
urn:nasa:pds:context:telescope:pic_du_midi.1m06,1.06m Telescope,,"Updated schema version. Adding missing ""investigation"" references. Adding missing ""agency"" references. Adding missing ""telescope"" references.",,
